​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.0005 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
build.js:112 1275 6 20
build.js:112 1276 6 20
build.js:112 1277 6 20
build.js:112 1278 6 20
build.js:112 1279 6 20
build.js:112 1280 6 20
build.js:112 1281 6 20
build.js:112 1282 6 20
build.js:112 1283 6 20
build.js:112 1284 6 20
build.js:112 1285 6 20
build.js:112 1286 6 20
build.js:112 1287 6 20
build.js:112 1288 6 20
build.js:112 1289 6 20
build.js:112 1290 6 20
build.js:112 1291 6 20
build.js:112 1292 6 20
build.js:112 1293 6 20
build.js:112 1294 6 20
build.js:112 1295 6 20
build.js:112 1296 6 20
build.js:112 1297 6 20
build.js:112 1298 6 20
build.js:112 1299 6 20
build.js:112 1300 6 20
build.js:112 1301 6 20
build.js:112 1302 6 20
build.js:112 1303 6 20
